,District Number,Zip Codes,District,Campus Number,Campus,Region,County,School Type,Grades Served,Alternative Education Accountability,Charter,Number of Students,% Economically Disadvantaged,% EB/EL Students,Overall Rating,Overall Score,Student Achievement Rating,Student Achievement Score,School Progress Rating,School Progress Score,Academic Growth Rating,Academic Growth Score,Relative Performance Rating,Relative Performance Score,Closing the Gaps Rating,Closing the Gaps Score,Support Label,Public Education Grant,Distinction ELA/Reading,Distinction Mathematics,Distinction Science,Distinction Soc Studies,Distinction Progress,Distinction Closing the Gaps,Distinction Postsecondary Readiness,US Congress District,US Congress Election District,TX House District,TX House Election District,TX Senate District,TX Senate Election District,Campus Enrollment Type
5160,152907,,FRENSHIP ISD,152907104,CRESTVIEW EL,REGION 17: LUBBOCK,LUBBOCK,Elementary,PK - 05,No,No,575,27.10%,4.20%,A,97,A,95,A,92,A,91,A,92,A,100,,,Earned,Earned,Earned,,Not Earned,Earned,Earned,19,19,84,83,28,28,ZONED SCHOOL-TRANSFERS ACCEPTED
5161,152907,,FRENSHIP ISD,152907105,WESTWIND EL,REGION 17: LUBBOCK,LUBBOCK,Elementary,PK - 05,No,No,565,70.10%,5.80%,B,86,C,77,B,88,B,88,B,83,B,80,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,19,19,84,84,28,28,ZONED SCHOOL-TRANSFERS ACCEPTED
5162,152907,,FRENSHIP ISD,152907106,WILLOW BEND EL,REGION 17: LUBBOCK,LUBBOCK,Elementary,PK - 05,No,No,599,75.60%,20.90%,B,86,C,77,B,89,B,89,B,84,C,79,,,Earned,Not Earned,Earned,,Earned,Earned,Earned,19,19,84,84,28,28,ZONED SCHOOL-TRANSFERS ACCEPTED
5163,152907,,FRENSHIP ISD,152907107,BENNETT EL,REGION 17: LUBBOCK,LUBBOCK,Elementary,EE - 05,No,No,868,43.10%,2.20%,A,93,A,91,A,91,A,91,B,89,A,96,,,Not Earned,Earned,Earned,,Not Earned,Earned,Earned,19,19,83,83,28,28,ZONED SCHOOL-TRANSFERS ACCEPTED
5164,152907,,FRENSHIP ISD,152907108,OAK RIDGE EL,REGION 17: LUBBOCK,LUBBOCK,Elementary,PK - 05,No,No,604,45.20%,4.10%,A,94,A,92,A,92,A,92,A,91,A,100,,,Earned,Earned,Earned,,Earned,Earned,Earned,19,19,83,84,28,28,ZONED SCHOOL-TRANSFERS ACCEPTED
5165,152907,,FRENSHIP ISD,152907109,LEGACY EL,REGION 17: LUBBOCK,LUBBOCK,Elementary,EE - 05,No,No,459,56.90%,4.10%,B,87,A,90,B,89,B,85,B,89,C,79,,,Not Earned,Earned,Earned,,Not Earned,Not Earned,Earned,19,19,83,84,28,28,ZONED SCHOOL-TRANSFERS ACCEPTED
5166,152907,,FRENSHIP ISD,152907111,UPLAND HEIGHTS EL,REGION 17: LUBBOCK,LUBBOCK,Elementary,PK - 05,No,No,842,43.30%,4.30%,A,90,A,90,B,89,B,89,B,85,A,90,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,19,19,83,84,28,28,ZONED SCHOOL-TRANSFERS ACCEPTED
5167,152908,,ROOSEVELT ISD,152908101,ROOSEVELT EL,REGION 17: LUBBOCK,LUBBOCK,Elementary,PK - 05,No,No,486,77.80%,4.50%,Not Rated: Senate Bill 1365,52,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,59,Not Rated: Senate Bill 1365,58,Not Rated: Senate Bill 1365,35,Comprehensive Identified,Yes,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,19,19,83,83,28,28,ZONED SCHOOL-TRANSFERS ACCEPTED
5168,152909,,SHALLOWATER ISD,152909101,SHALLOWATER EL,REGION 17: LUBBOCK,LUBBOCK,Elementary,EE - 01,No,No,352,40.90%,4.30%,A,90,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,19,19,83,84,28,28,ZONED SCHOOL-TRANSFERS ACCEPTED
5169,152909,,SHALLOWATER ISD,152909102,SHALLOWATER INT,REGION 17: LUBBOCK,LUBBOCK,Elementary,4-Feb,No,No,379,36.70%,2.40%,A,90,A,92,A,90,B,80,A,90,B,86,,,Earned,Earned,,,Not Earned,Not Earned,Earned,19,19,83,84,28,28,ZONED SCHOOL-TRANSFERS ACCEPTED
5170,152910,,IDALOU ISD,152910101,IDALOU EL,REGION 17: LUBBOCK,LUBBOCK,Elementary,PK - 04,No,No,401,40.60%,3.00%,B,87,A,93,A,91,Not Rated: Senate Bill 1365,67,A,91,C,74,,,Not Earned,Not Earned,,,Not Earned,Not Earned,Earned,19,19,83,83,28,28,ZONED SCHOOL-TRANSFERS ACCEPTED
5171,153904,,TAHOKA ISD,153904101,TAHOKA EL,REGION 17: LUBBOCK,LYNN,Elementary,EE - 05,No,No,300,62.70%,3.00%,B,81,C,79,B,83,C,74,B,83,C,77,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,19,19,83,83,28,28,ZONED SCHOOL-TRANSFERS ACCEPTED
5172,154901,,MADISONVILLE CISD,154901101,MADISONVILLE EL,REGION 06: HUNTSVILLE,MADISON,Elementary,EE - 02,No,No,646,80.80%,22.30%,B,89,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,8,10,57,12,5,5,ZONED SCHOOL-TRANSFERS ACCEPTED
5173,154901,,MADISONVILLE CISD,154901102,MADISONVILLE INT,REGION 06: HUNTSVILLE,MADISON,Elementary,5-Mar,No,No,494,73.70%,25.10%,B,89,B,88,A,92,A,92,A,90,B,83,,,Not Earned,Earned,Earned,,Not Earned,Not Earned,Earned,8,10,57,12,5,5,ZONED SCHOOL-TRANSFERS ACCEPTED
5174,155901,,JEFFERSON ISD,155901102,JEFFERSON EL,REGION 08: MT PLEASANT,MARION,Elementary,4-Jan,No,No,303,77.60%,1.70%,C,71,C,72,C,79,Not Rated: Senate Bill 1365,55,C,79,Not Rated: Senate Bill 1365,52,Comprehensive Progress,,Not Earned,Not Earned,,,Not Earned,Not Earned,Not Earned,4,1,9,7,1,1,ZONED SCHOOL-TRANSFERS ACCEPTED
5175,155901,,JEFFERSON ISD,155901103,JEFFERSON PRI SCH,REGION 08: MT PLEASANT,MARION,Elementary,PK - KG,No,No,130,81.50%,0.00%,C,71,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,4,1,9,7,1,1,ZONED SCHOOL-TRANSFERS ACCEPTED
5176,156902,,STANTON ISD,156902101,STANTON EL,REGION 18: MIDLAND,MARTIN,Elementary,EE - 05,No,No,543,64.10%,10.90%,B,89,C,77,B,89,B,89,B,82,B,88,,,Not Earned,Not Earned,Not Earned,,Earned,Earned,Not Earned,11,19,82,82,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
5177,157901,,MASON ISD,157901101,MASON EL,REGION 15: SAN ANGELO,MASON,Elementary,PK - 04,No,No,318,53.80%,14.50%,B,87,A,92,A,92,Not Rated: Senate Bill 1365,65,A,92,C,75,,,Not Earned,Earned,,,Not Earned,Not Earned,Earned,11,11,53,53,28,28,ZONED SCHOOL-TRANSFERS ACCEPTED
5178,158901,,BAY CITY ISD,158901101,CHERRY EL,REGION 03: VICTORIA,MATAGORDA,Elementary,EE - KG,No,No,444,86.70%,17.80%,B,88,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,27,22,25,30,18,17,ZONED SCHOOL-TRANSFERS ACCEPTED
5179,158901,,BAY CITY ISD,158901102,TENIE HOLMES EL,REGION 03: VICTORIA,MATAGORDA,Elementary,5-Mar,No,No,746,80.30%,19.00%,C,79,Not Rated: Senate Bill 1365,64,B,82,B,82,Not Rated: Senate Bill 1365,69,C,71,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,27,22,25,30,18,17,ZONED SCHOOL-TRANSFERS ACCEPTED
5180,158901,,BAY CITY ISD,158901104,ROBERTS EL,REGION 03: VICTORIA,MATAGORDA,Elementary,2-Jan,No,No,534,79.20%,18.40%,B,88,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,27,22,25,30,18,17,ZONED SCHOOL-TRANSFERS ACCEPTED
5181,158902,,TIDEHAVEN ISD,158902101,BLESSING EL,REGION 03: VICTORIA,MATAGORDA,Elementary,EE - 05,No,No,261,59.00%,16.50%,B,82,B,83,B,85,C,75,B,85,C,74,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,27,22,25,30,18,17,ZONED SCHOOL-TRANSFERS ACCEPTED
5182,158902,,TIDEHAVEN ISD,158902102,MARKHAM EL,REGION 03: VICTORIA,MATAGORDA,Elementary,EE - 05,No,No,235,58.70%,2.60%,A,96,A,93,A,94,A,94,A,93,A,100,,,Earned,Earned,Not Earned,,Earned,Earned,Earned,27,22,25,30,18,17,ZONED SCHOOL-TRANSFERS ACCEPTED
5183,158904,,MATAGORDA ISD,158904101,MATAGORDA SCHOOL,REGION 03: VICTORIA,MATAGORDA,Elementary,PK - 08,No,No,101,72.30%,5.00%,C,74,C,72,C,77,C,74,C,77,Not Rated: Senate Bill 1365,66,Targeted Support,,Not Earned,Not Earned,,,Not Earned,Not Earned,Not Earned,27,22,25,30,18,17,COMBINED ENROLLMENT TYPE SCHOOL
5184,158905,,PALACIOS ISD,158905101,CENTRAL EL,REGION 03: VICTORIA,MATAGORDA,Elementary,EE - 02,No,No,354,74.60%,19.20%,A,90,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,27,22,25,30,18,17,ZONED SCHOOL-TRANSFERS ACCEPTED
5185,158905,,PALACIOS ISD,158905102,EAST SIDE INT,REGION 03: VICTORIA,MATAGORDA,Elementary,5-Mar,No,No,283,71.00%,24.00%,A,90,B,80,B,86,B,86,B,86,A,100,,,Not Earned,Earned,Not Earned,,Not Earned,Earned,Earned,27,22,25,30,18,17,ZONED SCHOOL-TRANSFERS ACCEPTED
5186,158906,,VAN VLECK ISD,158906102,VAN VLECK EL,REGION 03: VICTORIA,MATAGORDA,Elementary,EE - 03,No,No,323,58.20%,3.70%,A,94,A,91,A,91,Not Rated,        .,A,91,A,100,,,Not Earned,Earned,,,,Earned,Earned,27,22,25,30,18,17,ZONED SCHOOL-TRANSFERS ACCEPTED
5187,158906,,VAN VLECK ISD,158906103,VAN VLECK INT,REGION 03: VICTORIA,MATAGORDA,Elementary,5-Apr,No,No,167,62.30%,3.00%,C,79,C,78,B,82,B,82,B,82,C,73,,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,27,22,25,30,18,17,ZONED SCHOOL-TRANSFERS ACCEPTED
5188,159901,,EAGLE PASS ISD,159901102,RAY H DARR EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,6-Jan,No,No,388,96.10%,45.40%,B,88,C,72,A,93,A,93,B,81,C,75,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5189,159901,,EAGLE PASS ISD,159901103,LANGUAGE DEVELOPMENT CENTER,REGION 20: SAN ANTONIO,MAVERICK,Elementary,EE - KG,No,No,428,91.80%,54.70%,B,88,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5190,159901,,EAGLE PASS ISD,159901104,DENA KELSO GRAVES EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,6-Jan,No,No,452,79.40%,54.00%,A,91,C,72,A,95,A,95,C,79,B,80,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5191,159901,,EAGLE PASS ISD,159901105,NELLIE MAE GLASS EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,6-Jan,No,No,425,72.70%,45.90%,A,90,C,74,A,93,A,93,B,80,B,83,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5192,159901,,EAGLE PASS ISD,159901106,JUAN N SEGUIN EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,6-Jan,No,No,273,91.90%,77.70%,B,86,Not Rated: Senate Bill 1365,60,A,91,A,91,Not Rated: Senate Bill 1365,67,C,74,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5193,159901,,EAGLE PASS ISD,159901107,MAUDE MAE KIRCHNER EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,PK - 06,No,No,116,90.50%,48.30%,B,87,C,73,A,92,A,92,B,82,C,76,,,Earned,Not Earned,Earned,,Not Earned,Not Earned,Earned,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5194,159901,,EAGLE PASS ISD,159901109,SAN LUIS EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,6-Jan,No,No,323,92.00%,58.50%,B,86,Not Rated: Senate Bill 1365,62,A,92,A,92,Not Rated: Senate Bill 1365,69,C,71,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5195,159901,,EAGLE PASS ISD,159901110,ROSITA VALLEY EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,6-Jan,No,No,393,91.30%,45.30%,B,88,C,71,A,93,A,93,C,79,C,75,Targeted Support,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5196,159901,,EAGLE PASS ISD,159901111,BENAVIDES HEIGHTS EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,6-Jan,No,No,275,87.60%,49.80%,B,88,C,72,A,93,A,93,C,79,C,77,,,Not Earned,Not Earned,Not Earned,,Earned,Not Earned,Not Earned,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5197,159901,,EAGLE PASS ISD,159901112,EARLY CHILDHOOD CENTER,REGION 20: SAN ANTONIO,MAVERICK,Elementary,EE - KG,No,No,405,77.80%,67.40%,A,91,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5198,159901,,EAGLE PASS ISD,159901113,SECO MINES EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,6-Jan,No,No,282,92.90%,49.60%,A,91,C,72,A,95,A,95,B,81,B,82,,,Not Earned,Not Earned,Not Earned,,Earned,Earned,Not Earned,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5199,159901,,EAGLE PASS ISD,159901115,SAM HOUSTON EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,6-Feb,No,No,420,96.20%,56.40%,B,85,Not Rated: Senate Bill 1365,57,B,89,A,92,Not Rated: Senate Bill 1365,60,C,75,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5200,159901,,EAGLE PASS ISD,159901116,ROSITA VALLEY LITERACY ACADEMY,REGION 20: SAN ANTONIO,MAVERICK,Elementary,EE - 01,No,No,325,93.20%,50.20%,B,85,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5201,159901,,EAGLE PASS ISD,159901117,PETE GALLEGO EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,6-Jan,No,No,347,89.00%,51.90%,B,88,C,72,A,94,A,94,B,80,C,74,,,Not Earned,Not Earned,Earned,,Earned,Not Earned,Not Earned,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5202,159901,,EAGLE PASS ISD,159901118,HENRY B GONZALEZ EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,6-Jan,No,No,344,97.70%,54.90%,B,84,Not Rated: Senate Bill 1365,58,B,89,A,92,Not Rated: Senate Bill 1365,63,C,71,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5203,159901,,EAGLE PASS ISD,159901119,KENNEDY EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,EE - KG,No,No,355,82.50%,56.10%,A,90,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5204,159901,,EAGLE PASS ISD,159901120,LIBERTY EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,6-Jan,No,No,467,66.00%,41.10%,A,98,A,92,A,97,A,97,A,92,A,100,,,Earned,Earned,Earned,,Earned,Earned,Earned,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5205,159901,,EAGLE PASS ISD,159901121,ARMANDO CERNA EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,6-Jan,No,No,512,61.70%,44.90%,A,97,B,88,A,95,A,95,B,88,A,100,,,Not Earned,Earned,Earned,,Earned,Earned,Earned,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5206,159901,,EAGLE PASS ISD,159901122,PERFECTO MANCHA EL,REGION 20: SAN ANTONIO,MAVERICK,Elementary,6-Jan,No,No,479,88.70%,53.70%,A,93,C,76,A,94,A,94,B,85,B,89,,,Earned,Earned,Earned,,Earned,Earned,Earned,23,23,74,74,19,19,ZONED SCHOOL-TRANSFERS ACCEPTED
5207,160901,,BRADY ISD,160901101,BRADY EL,REGION 15: SAN ANGELO,MCCULLOCH,Elementary,EE - 05,No,No,457,78.30%,3.30%,C,79,C,74,B,81,C,75,B,81,C,73,Targeted Support,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,11,11,59,53,28,28,ZONED SCHOOL-TRANSFERS ACCEPTED
5208,161801,,WACO CHARTER SCHOOL,161801101,WACO CHARTER SCHOOL,REGION 12: WACO,MCLENNAN,Elementary,PK - 05,No,Yes,193,86.50%,30.10%,C,78,Not Rated: Senate Bill 1365,56,B,83,B,83,Not Rated: Senate Bill 1365,57,Not Rated: Senate Bill 1365,66,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,17,17,56,56,22,22,OPEN ENROLLMENT CHARTER SCHOOL
5209,161802,,RAPOPORT ACADEMY PUBLIC SCHOOL,161802101,AUDRE AND BERNARD RAPOPORT ACADEMY,REGION 12: WACO,MCLENNAN,Elementary,PK - 04,No,Yes,401,83.80%,8.70%,B,84,Not Rated: Senate Bill 1365,55,B,89,B,89,Not Rated: Senate Bill 1365,56,C,71,Targeted Support,,Not Earned,Not Earned,,,Earned,Not Earned,Not Earned,17,17,12,13,22,22,OPEN ENROLLMENT CHARTER SCHOOL
5210,161807,,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,161807001,HARMONY SCIENCE ACAD (WACO),REGION 12: WACO,MCLENNAN,Elementary,PK - 05,No,Yes,541,87.40%,26.40%,B,83,Not Rated: Senate Bill 1365,57,B,89,B,89,Not Rated: Senate Bill 1365,59,C,70,Comprehensive Progress,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,17,17,56,56,22,22,OPEN ENROLLMENT CHARTER SCHOOL
5211,161807,,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,161807002,HARMONY SCIENCE ACADEMY - GARLAND,REGION 12: WACO,MCLENNAN,Elementary,PK - 06,No,Yes,702,61.00%,34.30%,B,86,C,74,A,90,A,90,C,75,C,78,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,32,5,113,113,16,2,OPEN ENROLLMENT CHARTER SCHOOL
5212,161807,,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,161807004,HARMONY SCHOOL OF INNOVATION - CARROLLTON,REGION 12: WACO,MCLENNAN,Elementary,KG - 05,No,Yes,454,60.10%,29.50%,B,83,C,72,B,86,B,86,C,72,C,77,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,24,26,65,65,12,12,OPEN ENROLLMENT CHARTER SCHOOL
5213,161807,,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,161807007,HARMONY SCIENCE ACADEMY- FORT WORTH,REGION 12: WACO,MCLENNAN,Elementary,KG - 05,No,Yes,605,63.60%,19.80%,B,83,C,75,B,85,B,85,C,78,C,77,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,12,12,97,90,10,10,OPEN ENROLLMENT CHARTER SCHOOL
5214,161807,,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,161807008,HARMONY SCIENCE ACADEMY - GRAND PRAIRIE,REGION 12: WACO,MCLENNAN,Elementary,PK - 08,No,Yes,455,80.20%,32.50%,B,88,C,74,A,92,A,92,B,81,B,80,,,Not Earned,Not Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,33,6,105,104,9,16,OPEN ENROLLMENT CHARTER SCHOOL
5215,161807,,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,161807012,HARMONY SCHOOL OF INNOVATION- EULESS,REGION 12: WACO,MCLENNAN,Elementary,KG - 05,No,Yes,652,56.70%,39.60%,A,94,B,88,A,95,A,95,B,87,A,90,,,Earned,Earned,Earned,,Earned,Earned,Earned,24,24,92,92,9,22,OPEN ENROLLMENT CHARTER SCHOOL
5216,161807,,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,161807015,HARMONY SCIENCE ACADEMY - PLANO,REGION 12: WACO,MCLENNAN,Elementary,PK - 05,No,Yes,488,60.50%,35.90%,B,85,C,73,B,89,B,89,C,74,C,77,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,3,4,66,66,8,8,OPEN ENROLLMENT CHARTER SCHOOL
5217,161807,,HARMONY PUBLIC SCHOOLS - NORTH TEXAS,161807016,HARMONY SCHOOL OF INNOVATION - GRAND PRAIRIE,REGION 12: WACO,MCLENNAN,Elementary,PK - 05,No,Yes,457,69.60%,33.30%,B,85,Not Rated: Senate Bill 1365,56,B,89,B,89,Not Rated: Senate Bill 1365,56,C,74,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,30,30,105,104,9,23,OPEN ENROLLMENT CHARTER SCHOOL
5218,161901,,CRAWFORD ISD,161901101,CRAWFORD EL,REGION 12: WACO,MCLENNAN,Elementary,KG - 05,No,No,248,22.20%,1.20%,A,94,A,91,A,90,A,90,C,79,A,100,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,Not Earned,17,17,56,56,22,22,ZONED SCHOOL-TRANSFERS ACCEPTED
5219,161903,,MIDWAY ISD,161903101,WOODWAY EL,REGION 12: WACO,MCLENNAN,Elementary,EE - 04,No,No,574,32.40%,4.90%,A,94,A,92,A,90,A,90,B,88,A,98,,,Earned,Earned,,,Not Earned,Earned,Earned,17,17,56,56,22,22,ZONED SCHOOL-TRANSFERS ACCEPTED
5220,161903,,MIDWAY ISD,161903102,HEWITT EL,REGION 12: WACO,MCLENNAN,Elementary,PK - 05,No,No,641,49.60%,10.50%,B,85,B,88,B,85,B,85,B,85,C,77,,,Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Earned,17,17,56,56,22,22,ZONED SCHOOL-TRANSFERS ACCEPTED
5221,161903,,MIDWAY ISD,161903103,SPEEGLEVILLE EL,REGION 12: WACO,MCLENNAN,Elementary,EE - 04,No,No,289,53.30%,2.10%,B,87,B,83,B,88,B,88,B,83,B,83,,,Earned,Not Earned,,,Not Earned,Not Earned,Not Earned,17,17,56,56,22,22,ZONED SCHOOL-TRANSFERS ACCEPTED
5222,161903,,MIDWAY ISD,161903104,SPRING VALLEY EL,REGION 12: WACO,MCLENNAN,Elementary,PK - 05,No,No,635,33.40%,7.40%,A,92,A,90,A,90,A,90,B,81,A,96,,,Not Earned,Earned,Not Earned,,Not Earned,Earned,Not Earned,17,17,56,56,22,22,ZONED SCHOOL-TRANSFERS ACCEPTED
5223,161903,,MIDWAY ISD,161903105,SOUTH BOSQUE EL,REGION 12: WACO,MCLENNAN,Elementary,EE - 04,No,No,656,16.00%,4.40%,A,97,A,95,A,94,A,94,A,90,A,100,,,Earned,Earned,,,Earned,Earned,Earned,17,17,56,56,22,22,ZONED SCHOOL-TRANSFERS ACCEPTED
5224,161903,,MIDWAY ISD,161903107,CASTLEMAN CREEK EL,REGION 12: WACO,MCLENNAN,Elementary,PK - 05,No,No,818,41.70%,10.00%,B,85,B,86,B,85,B,85,B,81,B,81,,,Not Earned,Earned,Not Earned,,Not Earned,Not Earned,Not Earned,17,17,56,56,22,22,ZONED SCHOOL-TRANSFERS ACCEPTED
5225,161906,,LA VEGA ISD,161906103,LA VEGA INT H P MILES CAMPUS,REGION 12: WACO,MCLENNAN,Elementary,6-Apr,No,No,596,93.80%,28.50%,C,73,Not Rated: Senate Bill 1365,67,C,74,Not Rated: Senate Bill 1365,69,C,74,C,71,Additional Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,17,17,12,13,22,22,ZONED SCHOOL-TRANSFERS ACCEPTED
5226,161906,,LA VEGA ISD,161906105,LA VEGA EL,REGION 12: WACO,MCLENNAN,Elementary,3-Jan,No,No,679,92.90%,26.10%,B,81,C,74,B,83,Not Rated,        .,B,83,C,77,,,Not Earned,Not Earned,,,,Not Earned,Not Earned,17,17,12,13,22,22,ZONED SCHOOL-TRANSFERS ACCEPTED
5227,161906,,LA VEGA ISD,161906106,LA VEGA PRI PHIL BANCALE CAMPUS,REGION 12: WACO,MCLENNAN,Elementary,PK - KG,No,No,444,93.50%,23.60%,B,81,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,17,17,12,13,22,22,ZONED SCHOOL-TRANSFERS ACCEPTED
5228,161907,,LORENA ISD,161907101,LORENA EL,REGION 12: WACO,MCLENNAN,Elementary,5-Mar,No,No,388,31.20%,2.60%,A,94,A,92,B,86,B,86,B,85,A,100,,,Not Earned,Not Earned,Earned,,Not Earned,Earned,Earned,17,17,56,56,22,22,COMBINED ENROLLMENT TYPE SCHOOL
5229,161907,,LORENA ISD,161907102,LORENA PRI,REGION 12: WACO,MCLENNAN,Elementary,EE - 02,No,No,423,35.20%,2.80%,A,94,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,Not Rated,        .,,,,,,,,,,17,17,56,56,22,22,COMBINED ENROLLMENT TYPE SCHOOL
5230,161908,,MART ISD,161908102,MART EL,REGION 12: WACO,MCLENNAN,Elementary,PK - 06,No,No,310,71.30%,4.20%,C,78,C,76,B,81,B,80,B,81,C,71,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,17,17,12,13,22,22,ZONED SCHOOL-TRANSFERS ACCEPTED
5231,161909,,MCGREGOR ISD,161909101,MCGREGOR EL,REGION 12: WACO,MCLENNAN,Elementary,5-Feb,No,No,425,65.90%,17.40%,B,86,C,77,B,88,B,88,B,82,B,82,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,17,17,56,56,22,22,ZONED SCHOOL-TRANSFERS ACCEPTED
